Year/Month/Day Hour:Minute:Second.Millisecond,System1:ICS_A_1_channel_7.VMon,System1:ICS_A_1_channel_7.IMon,System1:ICS_A_1_channel_7.Status,System1:ELMB/EIL4_A/MDM_15/AI/NTC_29.value,
Year/Month/Day Hour:Minute:Second.Millisecond,System1:ICS_A_1_channel_7.VMon,System1:ICS_A_1_channel_7.IMon,System1:ICS_A_1_channel_7.Status,System1:ELMB/EIL4_A/MDM_15/AI/NTC_29.value,
2021/02/12 12:11:49.512,10.39999961853,,,,
2021/02/12 12:14:55.296,,,,24222,
2021/02/12 12:15:25.298,,,,24238,
2021/02/12 12:16:01.300,,,,24184,
2021/02/12 12:16:37.297,,,,27610,
2021/02/12 12:16:55.298,,,,26032,
2021/02/12 12:17:25.301,,,,24948,
2021/02/12 12:18:01.291,,,,24654,
2021/02/12 12:18:30.554,10.39999961853,10.800000190735,,,
2021/02/12 12:18:31.304,,,,24819,
2021/02/12 12:18:32.761,,0,,,
2021/02/12 12:19:07.294,,,,24961,
2021/02/12 12:19:37.305,,,,24835,
2021/02/12 12:20:10.670,10.39999961853,10.800000190735,,,
2021/02/12 12:20:13.304,,,,24729,
2021/02/12 12:20:43.305,,,,24914,
2021/02/12 12:21:19.303,,,,25417,
2021/02/12 12:21:55.299,,,,25951,
2021/02/12 12:22:31.299,,,,26517,
2021/02/12 12:23:01.306,,,,26903,
2021/02/12 12:23:31.308,,,,27083,
2021/02/12 12:24:07.304,,,,27354,
2021/02/12 12:24:37.305,,,,27632,
2021/02/12 12:25:07.306,,,,27839,
2021/02/12 12:25:43.307,,,,27913,
2021/02/12 12:26:19.311,,,,28078,
2021/02/12 12:26:55.311,,,,28252,
2021/02/12 12:27:31.307,,,,28307,
2021/02/12 12:28:07.308,,,,28424,
2021/02/12 12:28:43.309,,,,28364,
2021/02/12 12:29:19.305,,,,28408,
2021/02/12 12:29:49.306,,,,28467,
2021/02/12 12:30:19.311,,,,28515,
2021/02/12 12:30:55.312,,,,28499,
2021/02/12 12:31:31.316,,,,28506,
2021/02/12 12:32:07.312,,,,28579,
2021/02/12 12:32:43.316,,,,28570,
2021/02/12 12:33:19.314,,,,28542,
2021/02/12 12:33:55.312,,,,28695,
2021/02/12 12:34:31.316,,,,28821,
2021/02/12 12:35:07.319,,,,28771,
2021/02/12 12:35:43.316,,,,28759,
2021/02/12 12:36:13.317,,,,28872,
2021/02/12 12:36:49.316,,,,28942,
2021/02/12 12:37:19.318,,,,28943,
2021/02/12 12:37:55.318,,,,28970,
2021/02/12 12:38:31.319,,,,28949,
2021/02/12 12:39:07.320,,,,28985,
2021/02/12 12:39:37.324,,,,29009,
2021/02/12 12:40:13.321,,,,29134,
2021/02/12 12:40:49.324,,,,29050,
2021/02/12 12:41:25.323,,,,29137,
2021/02/12 12:41:55.327,,,,29156,
2021/02/12 12:42:31.321,,,,29190,
2021/02/12 12:43:01.329,,,,29235,
2021/02/12 12:43:37.329,,,,29200,
2021/02/12 12:44:13.327,,,,29226,
2021/02/12 12:44:43.330,,,,29207,
2021/02/12 12:45:19.328,,,,29202,
2021/02/12 12:45:55.329,,,,29155,
2021/02/12 12:46:25.332,,,,29140,
2021/02/12 12:47:01.333,,,,29121,
2021/02/12 12:47:37.335,,,,29181,
2021/02/12 12:48:13.328,,,,29197,
2021/02/12 12:48:43.332,,,,29235,
2021/02/12 12:49:19.333,,,,29236,
2021/02/12 12:49:49.334,,,,29203,
2021/02/12 12:50:19.338,,,,29203,
2021/02/12 12:50:55.332,,,,29068,
2021/02/12 12:51:25.336,,,,29125,
2021/02/12 12:51:55.339,,,,29125,
2021/02/12 12:52:31.334,,,,29110,
2021/02/12 12:53:01.337,,,,29178,
2021/02/12 12:53:31.338,,,,29242,
2021/02/12 12:54:07.338,,,,29307,
2021/02/12 12:54:43.343,,,,29337,
2021/02/12 12:55:19.343,,,,29287,
2021/02/12 12:55:55.340,,,,29307,
2021/02/12 12:56:31.342,,,,29260,
2021/02/12 12:57:07.342,,,,29165,
2021/02/12 12:57:37.343,,,,29242,
2021/02/12 12:58:13.346,,,,29254,
2021/02/12 12:58:49.348,,,,29242,
2021/02/12 12:59:25.345,,,,29170,
2021/02/12 12:59:55.346,,,,29155,
2021/02/12 13:00:25.348,,,,29077,
